200,3.14,3.07,75.4,76.4,78.0,2.40,2.43,2.48
250,0.588,0.559,28.8,29.8,30.8,4.90,5.23,5.23
300,0.154,0.141,13.1,14.1,14.8,8.51,9.15,9.6
350,0.0530,0.0463,6.73,7.74,8.21,7.03,14.6,15.5
400,0.0209,0.0171,3.78,4.79,5.08,18.1,22.9,24.3
450,0.0168,0.0145,2.27,3.28,3.43,13.5,19.5,20.4
500,0.0271,0.0257,1.46,2.45,2.48,5.31,9.04,9.15
550,0.0648,0.0638,0.97,1.98,1.91,1.09,3.05,2.95
600,0.245,0.244,0.71,1.72,1.57,0.29,0.70,0.64
650,0.350,0.349,0.48,1.49,1.29,0.14,0.43,0.37
700,0.650,0.650,0.355,1.36,1.09,0.05,0.21,0.17
750,2.47,2.47,0.26,1.27,0.95,0.01,0.05,0.04
800,2.07,2.07,0.20,1.21,0.845,0.001,0.06,0.04